Row,Registration,Zipcode,Age,Partner_company,Friend_promo,Contract_period,Lifetime,Class_registration_weekly,Avg_additional_charges_total,Cancellation_freq,Exited,
10001,2000159,57328,37,0,1,6,10,1.06,134.2,0.01,0,
10002,2000235,29941,32,0,1,12,7,1.54,177.6,0.07,0,
10003,2000297,57328,29,0,1,6,5,2.15,205,0.28,0,
10004,2000435,29941,76,1,0,6,5,3.1,220.6666667,0.39,0,
10005,2000774,29941,24,1,0,1,3,1,142.04,0.12,1,
10006,2001211,29941,43,0,0,6,4,1.27,59.5,0.13,1,
10007,2001427,29941,49,1,1,6,5,1.17,62.78,0.06,1,
10008,2001525,57328,38,0,1,1,5,0.35,188.3333333,0,0,
10009,2001660,57328,26,1,0,1,2,3.78,207.6666667,0,0,
10010,2002128,29941,33,0,1,12,2,1.98,205.64,0,0,
10011,2002162,29941,50,1,1,1,2,1.93,145.75,0.37,1,
10012,2002309,29941,32,0,1,12,5,0,150,0,0,
10013,2002406,57328,27,1,0,6,10,2.66,224.6666667,0.24,0,
10014,2002496,29941,26,1,1,1,4,0.92,124.66,0.15,1,
10015,2002601,57328,41,1,0,1,3,3.17,206.3333333,0.45,0,
10016,2002618,29941,26,1,0,12,7,0,120.98,0,0,
10017,2002686,29941,51,1,1,12,3,1.61,154.56,0.52,1,
10018,2002761,57328,29,0,1,1,3,2.61,148.96,0,0,
10019,2002765,29941,43,0,0,12,6,2.44,133.44,0.61,1,
10020,2003113,57328,47,0,1,1,6,1.23,283.3333333,0,0,
10021,2003116,33726,43,1,1,12,8,1.55,189,0.33,1,
10022,2003124,29941,24,1,0,1,5,2.31,178.02,0.11,0,
10023,2003167,57328,52,0,1,1,4,1.14,254,0.07,0,
10024,2003407,29941,28,1,0,12,3,1.96,198.24,0.34,0,
10025,2003420,57328,21,1,0,12,3,1.7,179.3333333,0.06,0,
10026,2003437,29941,36,1,0,6,2,0,113.28,0,0,
10027,2003598,57328,37,0,1,12,3,2.53,229.3333333,0.13,0,
10028,2003713,29941,30,0,1,1,5,2.06,186.66,0.03,0,
10029,2003770,29941,38,1,0,12,1,2.15,202.3333333,0.1,0,
10030,2003931,57328,45,0,1,1,7,1.66,256,0.03,0,
10031,2003940,57328,38,0,1,6,7,0.2,183,0,0,
10032,2004433,57328,34,0,1,6,3,2.54,175.07,0.1,0,
